eng,iso639-3,iso639-1,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,lat,nan,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie
A'ou,aou,,奥乌语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhaz,abk,ab,阿布哈兹语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achuar,acu,,阿丘亚尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,afr,af,南非荷兰语,Afrikaans,,afrikaans,,,,,,,,,,,アフリカーンス語,아프리칸스어,,,,,,,,,,,,,,,tiếng Nam Phi
Ainu,ain,,爱努语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkadian,akk,,阿卡德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,sqi,sq,阿尔巴尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemannic German,gsw,,阿勒曼尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Sign Language,ase,,美国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,amh,am,阿姆哈拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amis,ami,,阿美语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Greek,grc,,古希腊语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Hebrew,hbo,,古希伯来语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ara,ar,阿拉伯语,Arabies,,àrab,,,,,,,,,,,アラビア語,아랍어,,,,,,,,,,,,,,,tiếng Ả Rập
Aramaic,arc,,阿拉马语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,hye,hy,亚美尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,asm,as,阿萨姆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awadhi,awa,,阿瓦地语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymara,aym,ay,艾马拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aynu,aib,,艾努语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,aze,az,阿塞拜疆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basay,byq,,巴赛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bashkir,bak,ba,巴什基尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque,eus,eu,巴斯克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,bel,be,白俄罗斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali,ben,bn,孟加拉语,Bengaals,,bengalí,,,,,,,,,,,ベンガル語,,,,,,,,,,,,,,,,
Bhojpuri,bho,,博杰普尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnian,bos,bs,波斯尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breton,bre,br,布列塔尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,bul,bg,保加利亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmese,mya,my,缅甸语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burushaski,bsk,,布鲁沙斯基语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantonese,yue,,粤语,Kantonees,,cantonès,,,,,,,,,,,広東語,,,,,,,,,,,,,,,,
Catalan,cat,ca,加泰隆语,Katalaans,,català,,,,,,,,,,,カタルーニャ語,카탈루냐어,,,,,,,,,,,,,,,tiếng Catalunya
Cebuano,ceb,,宿务语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Kurdish,ckb,,中库尔德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarhi,hne,,查蒂斯加尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,cmn,cmn,汉语,Chinees,,xinès,,,,,,,,,,,中国語,중국어,,,,,,,,,,,,,,,người Trung Quốc
Coptic,cop,,科普特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimean Tatar,crh,,克里米亚鞑靼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian,hrv,hr,克罗地亚语,Kroaties,,croat,,,,,,,,,,,クロアチア語,크로아티아어,,,,,,,,,,,,,,,tiếng Croatia
Czech,ces,cs,捷克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish,dan,da,丹麦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dari,prs,,达里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch,nld,nl,荷兰语,Nederlands,,neerlandès,,,,,,,,,,,オランダ語,네덜란드어,,,,,,,,,,,,,,,tiếng Hà Lan
Dzongkha,dzo,dz,宗喀语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egyptian Arabic,arz,,埃及阿拉伯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,eng,en,英语,Engels,إنجليزي,anglès,,Αγγλικά,Englanti,Anglais,Béarla,अंग्रेज़ी,Engleski,Angol,,Inglese,英語,,Anglicus,,Engels,,Angielski,Inglês,Engleză,Aнглийский,Inglés,Енглеска,Kiingereza,Engelska,,ingilizce,
Esperanto,epo,eo,世界语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian,est,et,爱沙尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroese,fao,fo,法罗语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,fin,fi,芬兰语,Fins,,finlandès,,,,,,,,,,,フィンランド語,핀란드어,,,,,,,,,,,,,,,Phần Lan
French,fra,fr,法语,Frans,,francès,,,,,,,,,,,フランス語,프랑스어,,,,,,,,,,,,,,,người Pháp
French Sign Language,fsl,,法国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friulian,fur,,弗留利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fula,ful,ff,富拉语,Fula,,fula,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galician,glg,gl,加利西亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gan,gan,,赣语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgian,kat,ka,格鲁吉亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German,deu,de,德语,Duits,,alemany,,,,,,,,,,,ドイツ語,독일어,,,,,,,,,,,,,,,tiếng Đức
Gothic,got,,哥特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,ell,el,希腊语,Grieks,,grec,,,,,,,,,,,ギリシャ語,그리스어,,,,,,,,,,,,,,,người Hy Lạp
Greenlandic,kal,kl,格陵兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaraní,grn,gn,瓜拉尼语,Guaraní,,guaraní,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Kpelle,gkp,,几内亚克珀列语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,guj,gu,古吉拉特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haitian Creole,hat,ht,海地克里奥尔语,Haïtiaanse Creool,,crioll haitià,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakka,hak,,客家话,Hakka,,hakka,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakka Chinese,hak,,客家话,Hakka Chinees,,xinès hakka,,,,,,,,,,,客家中国語,,,,,,,,,,,,,,,,
Hani,hni,,哈尼语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,hau,ha,豪萨语,Hausa,,hausa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,heb,he,希伯来语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiligaynon,hil,,希利盖农语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,hin,hi,印地语,Hindi,,hindi,,,,,,,,,,,ヒンディー語,힌디어,,,,,,,,,,,,,,,tiếng Hin-ddi
Hungarian,hun,hu,匈牙利语,Hongaars,,hongarès,,,,,,,,,,,ハンガリー語,헝가리어,,,,,,,,,,,,,,,người Hungary
Icelandic,isl,is,冰岛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igbo,ibo,ig,伊博语,Igbo,,igbo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Sign Language,ins,,印度手语,Indiese gebaretaal,,llengua de signes índia,,,,,,,,,,,インド手話,,,,,,,,,,,,,,,,
Indonesian,ind,id,印尼语,Indonesies,,indonesi,,,,,,,,,,,インドネシア語,인도네시아어,,,,,,,,,,,,,,,tiếng Indonesia
Interlingua,ina,ia,国际语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inupiaq,ipk,ik,因纽皮亚克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish,gle,ga,爱尔兰语,Iers,,irlandès,,,,,,,,,,,アイルランド語,아일랜드어,,,,,,,,,,,,,,,người Ireland
Italian,ita,it,意大利语,Italiaans,,italià,,,,,,,,,,,イタリア語,이탈리아어,,,,,,,,,,,,,,,người Ý
Jamaican Creole,jam,,牙买加克里奥尔英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese,jpn,ja,日语,Japanees,,japonès,,,,,,,,,,,日本語,일본어,,,,,,,,,,,,,,,tiếng Nhật
Javanese,jav,jv,爪哇语,Javaans,,javanès,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javanese,jav,jv,爪哇语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin,cjy,,晋语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingpho,kac,,景颇语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabyle,kab,,卡拜尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kannada,kan,kn,卡纳达语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karelian,krl,,卡雷利亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashubian,csb,,卡舒比安语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakh,kaz,kk,哈萨克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khmer,khm,km,高棉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klingon,tlh,,克林贡语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konkani,kok,,谷氨基语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,kor,ko,韩语,Koreaans,,coreà,,,,,,,,,,,韓国語,한국어,,,,,,,,,,,,,,,Hàn Quốc
Korean Sign Language,kvk,,韩国手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kpelle,kpe,,克培勒语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdish,kur,ku,库尔德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz,kir,ky,吉尔吉斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladino,lad,,拉迪诺语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakota,lkt,,拉科塔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,lao,lo,老挝语,Laotiaans,,laosià,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin,lat,la,拉丁语,Latyn,,llatí,,,,,,,,,,,ラテン語,라틴어,,,,,,,,,,,,,,,Latin
Latvian,lav,lv,拉脱维亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lhao Vo,mhx,,勒豪沃语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia Kpelle,xpe,,利比里亚克珀列语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lingala,lin,ln,林加拉语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuanian,lit,lt,立陶宛语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Silesian,sli,,下西里西亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Sorbian,dsb,,下索布语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourgish,ltz,lb,卢森堡语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonian,mkd,mk,马其顿语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maithili,mai,,迈蒂利语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malagasy,mlg,mg,马达加斯加语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malay,msa,ms,马来语,Maleis,,malai,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malayalam,mal,ml,马拉雅拉姆语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,mlt,mt,马耳他语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin,cmn,,官话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipuri,mni,,曼尼普尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manx,glv,gv,马恩语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maori,mri,mi,毛利语,Maori,,maori,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marathi,mar,mr,马拉提语,Marathi,,marathi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metlatónoc Mixtec,mxv,,梅特拉通米克特克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Chinese,ltc,,中古汉语,Middel-Chinees,,xinès mitjà,,,,,,,,,,,中中国語,,,,,,,,,,,,,,,,
Middle English,enm,,中古英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Bei,mnp,,闽北语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min Nan,nan,,闽南语,Min Nan,,min nan,,,,,,,,,,,ミンナン語,민난어,,,,,,,,,,,,,,,Mân Nam
Min Nan Chinese,nan,,闽南语,Min Nan Chinees,,xinès min nan,,,,,,,,,,,ミンナン中国語,,,,,,,,,,,,,,,,
Min Zhong,czo,,闽中语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minangkabau,min,,米南卡保语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian,mon,mn,蒙古语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegrin,cnr,,黑山语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N'Ko,nqo,,滑蛮语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navajo,nav,nv,纳瓦霍语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepali,nep,ne,尼泊尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Sami,sme,se,北萨米语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian,nor,no,挪威语,Noors,,noruec,,,,,,,,,,,ノルウェー語,노르웨이어,,,,,,,,,,,,,,,tiếng na uy
Norwegian Bokmål,nob,nb,挪威博克马尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Nynorsk,nno,nn,挪威尼诺斯克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Sign Language,nsl,,挪威手语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occitan,oci,oc,奥克西坦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odia,ori,or,奥里雅语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okinawan,ryu,,冲绳语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Chinese,och,,古汉语,Oud-Chinees,,xinès antic,,,,,,,,,,,旧中国語,,,,,,,,,,,,,,,,
Old English,ang,,古英语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old High German,goh,,古高地德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Japanese,ojp,,古日语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Norse,non,,古诺尔斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oromo,orm,om,阿方奥洛莫语,Oromo,,oromo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscan,osc,,奥斯坎语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pashto,pus,ps,普什图语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,fas,fa,波斯语,Persies,,persa,,,,,,,,,,,ペルシャ語,,,,,,,,,,,,,,,,
Piedmontese,pms,,皮埃蒙特语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pijin,pis,,皮金语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polish,pol,pl,波兰语,Pools,,polonès,,,,,,,,,,,ポーランド語,폴란드어,,,,,,,,,,,,,,,Đánh bóng
Portuguese,por,pt,葡萄牙语,Portugees,,portuguès,,,,,,,,,,,ポルトガル語,포르투갈어,,,,,,,,,,,,,,,tiếng Bồ Đào Nha
Punjabi,pan,pa,旁遮普语,Punjabi,,panjabi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puxian,cpx,,莆田话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quechua,que,qu,克丘亚语,Quechua,,quechua,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romanian,ron,ro,罗马尼亚语,Roemeens,,romanès,,,,,,,,,,,ルーマニア語,루마니아어,,,,,,,,,,,,,,,Rumani
Romansch,roh,rm,罗曼什语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,rus,ru,俄语,Russies,,rus,,,,,,,,,,,ロシア語,러시아어,,,,,,,,,,,,,,,tiếng Nga
S'gaw Karen,ksw,,斯卡伦克伦语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucian Creole French,acf,,圣露西亚克里奥尔法语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoan,smo,sm,萨摩亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanskrit,san,sa,梵语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saramaccan,srm,,萨拉马卡语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinian,srd,sc,撒丁尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scots,sco,,苏格兰语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Gaelic,gla,gd,苏格兰盖尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbian,srp,sr,塞尔维亚语,Servies,,serbi,,,,,,,,,,,セルビア語,세르비아어,,,,,,,,,,,,,,,tiếng Serbia
Serbo-Croatian,hbs,sh,塞尔维亚-克罗地亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan Yi,iii,ii,四川彝语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sicilian,scn,,西西里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindarin,sjn,,辛达林语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhi,snd,sd,信德语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinhalese,sin,si,僧伽罗语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak,slk,sk,斯洛伐克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovene,slv,sl,斯洛文尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somali,som,so,索马里语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish,spa,es,西班牙语,Spaans,,espanyol,,,,,,,,,,,スペイン語,스페인어,,,,,,,,,,,,,,,người Tây Ban Nha
Standard Arabic,ara,ar,标准阿拉伯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumerian,sux,,苏美尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundanese,sun,su,巽他语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swahili,swa,sw,斯瓦希里语,Swahili,,swahili,,,,,,,,,,,スワヒリ語,스와힐리어,,,,,,,,,,,,,,,tiếng Swahili
Swazi,ssw,ss,斯威士语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swedish,swe,sv,瑞典语,Sweeds,,suec,,,,,,,,,,,スウェーデン語,스웨덴어,,,,,,,,,,,,,,,Thụy Điển
Tagalog,tgl,tl,他加禄语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajik,tgk,tg,塔吉克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil,tam,ta,泰米尔语,Tamil,,tamil,,,,,,,,,,,タミル,,,,,,,,,,,,,,,,
Tatar,tat,tt,塔塔尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telugu,tel,te,泰卢固语,Telugu,,telugu,,,,,,,,,,,テルグ語,,,,,,,,,,,,,,,,
Thai,tha,th,泰语,Thai,,tailandès,,,,,,,,,,,タイ語,타이어,,,,,,,,,,,,,,,tiếng Thái
Tibetan,bod,bo,藏语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigrinya,tir,ti,提格利尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tok Pisin,tpi,,托克皮辛语,Tok Pisin,,tok pisin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsakonian,tsd,,托萨科尼亚语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish,tur,tr,土耳其语,Turks,,turc,,,,,,,,,,,トルコ語,터키어,,,,,,,,,,,,,,,Thổ Nhĩ Kỳ
Ukrainian,ukr,uk,乌克兰语,Oekraïens,,ucraïnès,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urdu,urd,ur,乌尔都语,Urdu,,urdú,,,,,,,,,,,ウルドゥー語,,,,,,,,,,,,,,,,
Uyghur,uig,ug,维吾尔语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbek,uzb,uz,乌兹别克语,Oezbeeks,,uzbek,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venetian,vec,,威尼斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnamese,vie,vi,越南语,Viëtnamees,,vietnamita,,,,,,,,,,,ベトナム語,베트남어,,,,,,,,,,,,,,,Tiếng Việt
Volapük,vol,vo,沃拉普克语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welsh,cym,cy,威尔士语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Frisian,fry,fy,弗里西语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Farsi,pes,,西部波斯语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Yugur,ybe,,西域裕固语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolof,wol,wo,沃洛夫语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu,wuu,,吴语,Wu,,wu,,,,,,,,,,,ウー,,,,,,,,,,,,,,,,
Xhosa,xho,xh,科萨语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiang,hsn,,湘语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yakut,sah,,萨哈语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiddish,yid,yi,依地语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoruba,yor,yo,约鲁巴语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhuang,zha,za,壮语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zulu,zul,zu,祖鲁语,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,