eng,iso639-3,iso639-1,zho,afr,ara,cat,deu,ell,fin,fra,gle,hin,hrv,hun,ind,ita,jpn,kor,nld,nor,pol,por,ron,rus,spa,srp,swa,swe,tha,tur,vie
en,,,zh,af,ar,ca,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sr,sw,sv,th,tr,vi
A'ou,aou,,奥乌语,Ou taal,لغة Ou,Llengua ou,Ou Sprache,Ou γλώσσα,Ou-kieli,Notre langue,Teanga Ou,Ou भाषा,Ou jezik,Ou nyelv,Bahasa Ou,Lingua Ou,奥羽語,Ou 언어,Ou taal,Ou språk,Język ou,Ou língua,Ou limbă,Ou language,Idioma Ou,Ouu jezik,Lugha ya Ou,Ou språk,ภาษา Ou,Ou dili,Ngôn ngữ Ou
Abkhaz,abk,ab,阿布哈兹语,Abchaziese,الابخازيه,Abkhàzia,Abchasisch,Αμπχαζικά,Abhaasi,Abkhaze,AbkhazianName,अब्खाज़ियन,Abhazijski,abház,Abkhazia,Abcaso,アブハジア語,압하지야어,Abchazisch,Abkhasisk,Abchaski,Abecásia,Abhazie,Абхазский,Abjaso,Abhazijan,Abkhazian,Abchaziska,อับคาเซียน,Abhaz,Tiếng Abkhazia
Achuar,acu,,阿丘亚尔语,Achuar,أشوار,Achuar,Achuar,Ατσουάρ,Achuar,Achuar,AchuarName,अचुआर,Ačuar,Achuar,Achuar,cantone di Achuar,アチュアール,아추아르,Kanton Achuar,Achuar,Achuar,Achuar,Achuar,Ачуар,Achuar,Achuar,Achuar,Achuar Achuar,อาชัวร์,Achuar Belediyesi,Achuar
Afrikaans,afr,af,南非荷兰语,Afrikaans,الأفريقانية,Afrikaans,Afrikaans,Αφρικάανς,Afrikaans,Afrikaans,Afracáinis,अफ़्रिकान्स,Afrikaans,Búr,Afrika,Afrikaans,アフリカーンス語,아프리칸스어,Afrikaans,Afrikaans,Afrikaans,Africâner,Afrikaans,Африкаанс,Afrikaans,Afrikanski,Kiafrikaani,Afrikaans,อัฟริกัน,Afrikaner,Afrikaans
Ainu,ain,,爱努语,Ainu,عينو,Ainu,Ainu,Αϊνού,Ainu,Aïnou,Ainu,ऐनू,Ainu,Ainu,Ainu,Ainu,アイヌ,아이누어,Kanton Ainu,Ainu,Ainu,Ainu,Ainu,Айну,Ainu,Ainu,Ainu,Ainu,ไอนุ,Ainu,Ainu
Akkadian,akk,,阿卡德语,Akkadies,الأكادية,Accadi,Akkadisch,Ακκαδική,Akkadi,Akkadien,AkkadianName,अक्कादियन,Akadski,Akkád,Akkadia,Accadico,アッカド語,아카드어,Akkadisch,Akkadisk,Akadyjski,Acadiano,Akkadiană,Аккадский,Acadio,Akadijanиe,Akkadian,Akkadiska,อัคคาเดียน,Akad,Tiếng Akkad
Albanian,sqi,sq,阿尔巴尼亚语,Albaniese,الألبانية,Albanès,Albanisch,Αλβανικά,Albania,Albanais,Albáinis,अल्बानियाई,Albanski,Albán,Albania,Albanese,アルバニア語,알바니아어,Albanees,Albansk,Albański,Albanês,Albaneză,Албанский,Albanés,Albanski,Kialbania,Albanska,อัลบาเนีย,Arnavutça,Tiếng An-ba-ni
Alemannic German,gsw,,阿勒曼尼语,Alemanni-taal,اللغة اليمانية,Llengua alemanni,Alemannische Sprache,Αλεμαννική γλώσσα,Alemannin kieli,Langue alamani,Teanga Alemanni,अलेमानी भाषा,Alemanni jezik,Alemanni nyelv,Bahasa Alemanni,Lingua Alemanni,アレマン語,알레만니어,De taal van de Alemannen,Alemannisk språk,Język alemanski,Língua alamânica,Limba alemanilor,Алеманнский язык,Idioma alamaní,Alemanni jezik,Lugha ya Alemanni,Alemanniska språket,ภาษา Alemanni,Alemanni dili,Ngôn ngữ Alemanni
American Sign Language,ase,,美国手语,Amerikaanse Gebaretaal,لغة الإشارة الأمريكية,Llengua de signes americana,Amerikanische Gebärdensprache,Αμερικανική Νοηματική Γλώσσα,Amerikkalainen viittomakieli,Langue des signes québécoise,Teanga Chomharthaíochta Mheiriceá,अमेरिकी सांकेतिक भाषा,Američki znakovni jezik,Amerikai jelnyelv,Bahasa Isyarat Amerika,Lingua dei segni americana,アメリカ手話(American Sign Language),미국 수화,Amerikaanse gebarentaal,Amerikansk tegnspråk,Amerykański język migowy,Língua Americana de Sinais,Limbajul semnelor american,Американский язык жестов,Lenguaje de Señas Americano,Američki znakovni jezik,Lugha ya Ishara ya Marekani,Amerikanskt teckenspråk,ภาษามืออเมริกัน,Amerikan İşaret Dili,Ngôn ngữ ký hiệu Mỹ
Amharic,amh,am,阿姆哈拉语,Amharies,الأمهرية,Amhàric,Amharisch,Αμχαρικά,Amhara,Amharique,Amharic,अम्हारिक,Amharski,Amhara,Amharik,Amarico,アムハラ語,암하라어,Amhaars,Amharisk,Amharski,Amárico,Amharică,Амхарский,Amárico,Amharić,Amharic,Amhariska,ภาษาอัมฮาริค,Amharca,Tiếng Amhara
Amis,ami,,阿美语,Amis,بعثه الاتحاد الافريقي,Amis,Amis,Αμίς,Amis,Amis,AmisName,एमिस,Amis,Amis,Amis,Amis,アミ族,아미족,Amis,Amis,Amis,Amis,Amis,Амис,Amis,Amis,Amis,Amis,อามิส,Amis,Amis
Ancient Greek,grc,,古希腊语,Antieke Grieks,اليونانية القديمة,Grec antic,Altgriechisch,Αρχαία ελληνική γλώσσα,Muinaiskreikka,Grec ancien,An tSean-Ghréigis,प्राचीन यूनानी भाषा,Starogrčki jezik,Ógörög nyelv,Bahasa Yunani Kuno,Greco antico,古代ギリシャ語,고대 그리스어,Oudgrieks,Gammelgresk,Starogrecki,Grego antigo,Greaca veche,Древнегреческий,Griego antiguo,Stari Grk,Ugiriki ya Kale,Klassisk grekiska,กรีกโบราณ,Antik Yunanca,Hy Lạp cổ đại
Ancient Hebrew,hbo,,古希伯来语,Antieke Hebreeus,العبرية القديمة,Hebreu antic,Althebräisch,Αρχαία Εβραϊκά,Muinainen heprea,Hébreu ancien,An tSean-Eabhrais,प्राचीन हिब्रू,Drevni hebrejski,Ősi héber,Ibrani kuno,Ebraico antico,古代ヘブライ語,고대 히브리어,Oud-Hebreeuws,Gammel hebraisk,Starożytny hebrajski,Hebraico Antigo,Ebraica veche,Древнееврейский,Hebreo antiguo,Drevni hebrejski,Kiebrania cha Kale,Forntida hebreiska,ภาษาฮีบรูโบราณ,Eski İbranice,Tiếng Do Thái cổ đại
Arabic,ara,ar,阿拉伯语,Arabies,العربية,Àrab,Arabisch,Αραβικά,Arabia,Arabe,Araibis,अरबी,Arapski,Arab,Arab,Arabo,アラビア語,아랍어,Arabisch,Arabisk,Arabski,Árabe,Arabă,Арабский,Árabe,Arapski,Kiarabu,Arabiska,อาหรับ,Arapça,Tiếng A-rập
Aramaic,arc,,阿拉马语,Arama,أراما,Arama,Arama,Αράμα,Arama,Arama,Arama,अरामा,Arama,Arama,Arama,Arama,荒間,아라마,Arama,Arama,Arama powiedział:,Arama,Arama,Арама,Arama,Arama,Arama,Arama Arama,อารามา,Arama,Tiếng Ả Rập
Armenian,hye,hy,亚美尼亚语,Armeense,الأرمينية,Armeni,Armenisch,Αρμενικά,Armenia,Arménien,Airméinis,आर्मीनियाई,Armenski,Örmény,Armenia,Armeno,アルメニア語,아르메니아어,Armeens,Armensk,Armeński,Armênio,Armeană,Армянский,Armenio,Jermenski,Kiarmenia,Armeniska,อาร์เมเนีย,Ermenice,Tiếng Ac-mê-ni
Assamese,asm,as,阿萨姆语,Assamees,الاساميه,Assamès,Assamesisch,Ασαμικά,Assami,Assamais,Asamese,आसामी,Asamski,Asszámi,Bahasa Assam,Assamese,アッサム,아샘어,Assamees,Assamesisk,Assamese,Assamês,Asameză,Ассамский,Asamés,Asamski,Assamese,Assamesiska,อัสสัม,Assamca,Tiếng Assam
Awadhi,awa,,阿瓦地语,Awadi,العوضي,Awadi,Awadi,Αουάντι,Awadi,Awadi,AwadiName,अवदी,Awadi,Awadi,Awadi,Awadi,アワディ,아와디,Awadi,Awadi,Awadi,Awadi,Malaezia,Авади,Awadi,Awadi,Awadi,Awadi Awadi,อาวาดี,Awadi Belediyesi,Awadi
Aymara,aym,ay,艾马拉语,Aymara,ايمارا,Aimara,Aymara,Αϊμάρα,Aimara,Aymara,AymaraName,आयमारा,Aymara,Aymara,Aymara,Aymara,アイマラ,아이마라어,Aymara,Aymara,Ajmara,Aimará,Aymara,Аймара,Aymara,Ajmara,Aymara,Aymara,ไอมารา,Aymara,Aymara
Aynu,aib,,艾努语,Ainu,عينو,Ainu,Ainu,Αϊνού,Ainu,Aïnou,Ainu,ऐनू,Ainu,Ainu,Ainu,Ainu,アイヌ,아이누어,Kanton Ainu,Ainu,Ainu,Ainu,Ainu,Айну,Ainu,Ainu,Ainu,Ainu,ไอนุ,Ainu,Ainu
Azerbaijani,aze,az,阿塞拜疆语,Azerbeidjans,الاذربيجانيه,Àzeri,Aserbaidschanisch,Αζερμπαϊτζανικά,Azeri,Azéri,Asarbaiseáinis,अज़रबैजानी,Azerbejdžanski,Azerbajdzsáni,Azerbaijan,Azerbaigiano,アゼルバイジャン語,아제르바이잔어,Azeri,Aserbajdsjansk,Azerski,Azerbaijano,Azeră,Азербайджанский,Azerbaiyano,Azerbejdžanski,Azerbaijani,Azerbajdzjanska,อาเซอร์ไบจัน,Azerice,Tiếng Ailen
Basay,byq,,巴赛语,Basai,باساي,Basai,Basai,Μπασάι,Basai,Basai,BasaiName,बसई,Basai,Basai,Basai,Basai,バサイ,바사이,Basai,Basai,Basai,Basai,Basai,Басаи,Basai,Basai,Basai,Basai Basai,บาไซ,Basai,Tiếng Basai
Bashkir,bak,ba,巴什基尔语,Basjkir,الباشكيرية,Baixkir,Baschkirisch,Μπασκίρ,Baškiiri,Bachkir,BashkirName,बश्किर,Baškir,Baskír,Bashkir,Baschiro,バシキール語,바쉬키르,Basjkiers,Basjkir,Baszkirski,Bashkir,Bașkiră,Башкирский,Baskir,Baškir,Bashkir,Basjkiriska,บัชคีร์,Başkurtça,Bashkir
Basque,eus,eu,巴斯克语,Baskeland,الباسكية,Basc,Baskisch,Βασκικά,Baski,Basque,Bascais,बास्क,Baskijski,Baszk,Basque,Basco,バスク語,바스크어,Baskisch,Baskisk,Baskijski,Basco,Bască,Баскский,Vasco,Baskijski,Kibaski,Baskiska,บาส์ก,Bask dili,Basque
Belarusian,bel,be,白俄罗斯语,Belarussiese,البيلاروسية,Bielorús,Belarussisch,Λευκορωσικά,Valkovenäjä,Biélorusse,Bealarúisis,बेलारूसी,Bjeloruski,Belorusz,Belarusia,Bielorusso,ベラルーシ語,벨로루시어,Wit-Russisch,Hviterussisk,Białoruski,Bielo-russo,Belarusă,Белорусский,Bielorruso,Beloruski,Kibelarusi,Vitryska,เบลารุส,Beyaz Rusça,Tiếng Bêlarut
Bengali,ben,bn,孟加拉语,Bengali,البنغالية,Bengalí,Bengali,Βεγγαλικά,Bengali,Bengali,Beangáilis,बांग्ला,Bengalski,Bengáli,Bengali,Bengali,ベンガル語,벵골어,Bengaals,Bengali,Bengalski,Bengalês,Bengali,Бенгальский,Bengalí,Bengalski,Kibengali,Bengali,เบนกาลี,Bengali,Tiếng Bengali
Bhojpuri,bho,,博杰普尔语,Bhojpuri,بوجبوري,Bhojpuri,Bhojpuri,Μποτζπούρι,Bhodžpuri,Bhojpuri,BhojpuriName,भोजपुरी,Bhojpuri,Bhojpuri,Bhojpuri,Bhojpuri,ボジプリ,보즈푸리,Bhojpuri,Bhojpuri,Bhojpuri powiedział:,Bhojpuri,Bhojpuri,Бходжпури,Bhojpurí,Bhojpuri,Bhojpuri,Bhojpuri,โภชปุรี,Bhojpuri Dili,Bhojpuri
Bosnian,bos,bs,波斯尼亚语,Bosniese,البوسنية,Bosnià,Bosnisch,Βοσνιακά,Bosnia,Bosniaque,Boisnis,बोस्नियाई,Bosanski,Boszniai,Bosnian,Bosniaco,ボスニア語,보스니아어,Bosnisch,Bosnisk,Bośniacki,Bósnio,Bosniacă,Боснийский,Bosnio,Bosanski,Kibosnia,Bosniska,บอสเนีย,Boşnakça,Bosnia
Breton,bre,br,布列塔尼语,Bretons,بريتونية,Bretó,Bretonisch,Βρετονικά,Bretoni,Breton,Briotáinis,ब्रेटन,Bretonski,Breton,Breton,Bretone,ブルトン語,브루타뉴어,Bretons,Bretonsk,Bretoński,Bretão,Bretonă,Бретонский,Bretón,Breton,Breton,Bretonska,เบรอตง,Bretonca,Breton
Bulgarian,bul,bg,保加利亚语,Bulgaarse,البلغارية,Búlgar,Bulgarisch,Βουλγαρικά,Bulgaria,Bulgare,Bulgáiris,बल्गारिया,Bugarski,Bolgár,Bulgaria,Bulgaro,ブルガリア語,불가리어,Bulgaars,Bulgarsk,Bułgarski,Búlgaro,Bulgară,Болгарский,Búlgaro,Bugarski,Kibulgaria,Bulgariska,เบลเยียม,Bulgarca,Tiếng Bun-ga-ri
Burmese,mya,my,缅甸语,Birmaanse,البورميه,Birmà,Burmesisch,Βιρμανός,Burma,Birman,Burmais,बर्मी,Burmanski,Burmai,Birma,Birmano,ビルマ語,버마어,Birmaans,Burmesisk,Birmański,Birmanês,Birman,Бирманский,Birmano,Burmani,Burmese,Burmesiska,พม่า,Birmanya,Miến điện
Burushaski,bsk,,布鲁沙斯基语,Brushaski,بروشاسكي,Raspallat,Brushaski,Βουρτσάσκι,Harja,Brushaski,Brushaski,ब्रशस्की,Kistom,Kefeaski,Brushaski,Spazzola,ブラッシュアスキー,브루샤스키,Brushaski,Brushaski,Szczociński,Brushaski,Brushaski,Брушаски,Brushaski,Brushaski,Brushaski,Brushaski Brushaski,บรูชาสกี,Fırça Aşkı,Bàn chải
Cantonese,yue,,粤语,Kantonees,كَانْتُونِيَّة,Cantonès,Kantonesisch,Καντονέζικα,Kantoninkiina,Cantonais,Cantainis,कैंटोनीज़,Kantonski,Kantoni,Kantonis,Cantonese,広東語,광둥어,Kantonees,Kantonesisk,Kantoński,Cantonês,Cantoneză,Кантонский,Cantonés,Kantonski,Cantonese,Kantonesiska,ภาษาจีนกวางตุ้ง,Kanton,Tiếng Quảng Đông
Catalan,cat,ca,加泰隆语,Katalonië,الكتالانية,Català,Katalanisch,Καταλανικά,Katalaani,Catalan,Catalóinis,कातलान,Katalonski,Katalán,Catalan,Catalano,カタロニア語,카탈로니아어,Catalaans,Katalansk,Kataloński,Catalão,Catalană,Каталанский,Catalán,Katalonski,Kikatalan,Katalanska,คาตาลัน,Katalanca,Catalan
Cebuano,ceb,,宿务语,Cebuano,سيبوانو,Cebuà,Cebuano,Σεμπουάνο,Cebuano,Cebuano,CebuanoName,सिबुआनो,Cebuano,Cebuano,Cebuano,cantone di Cebuano,セブアノ語,세부아노어,Cebuano,Cebuano,Cebuański,Cebuano,Cebuano,Себуано,Cebuano,Cebuano,Cebuano,Cebuano Cebuano,เซบัวโน,Cebuano Belediyesi,Tiếng Cebuano
Central Kurdish,ckb,,中库尔德语,Middel Koerdies,الكردية الوسطى,Kurd mitjà,Mittelkurdisch,Μέση κουρδική,Keski-kurdi,Kurde moyen,An Mheán-Choirdis,मध्य कुर्द,Srednji kurdski,Közép-kurd,Kurdi Tengah,Curdo medio,中期クルド語,중부 쿠르드어,Middel-Koerdisch,Middelkurdisk,Środkowy kurdyjski,Curdo médio,Kurda mijlocie,Среднекурдский,Kurdo medio,Srednji kurdski,Kikurdi cha Kati,Medelkurdiska,เคิร์ดกลาง,Orta Kürtçe,Tiếng Kurd trung đại
Chhattisgarhi,hne,,查蒂斯加尔语,Chattisgarh,تشاتيسجاره,Chattisgarh,Chattisgarh,Τσάτισγκαρ,Chattisgarh,Chattisgarh,Chattisgarh,छत्तीसगढ़,Chattisgarh,Chattisgarh,Chattisgarh,Cantone di Chattisgarh,チャッティースガル州,차티스가르,Kanton Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh,Чаттисгарх,Chattisgarh,Chattisgarh,Chattisgarh,Chattisgarh (Chattisgarh),ฉัตติสครห์,Chattisgarh Belediyesi,Chattisgarh
Chinese,cmn,cmn,汉语,Chinees,الصينية,Xinès,Chinesisch,Κινεζικά,Kiina,Chinois,Sínis,चीनी,Kineski,Kínai,Cina,Cinese,中国語,중국어,Chinees,Kinesisk,Chiński,Chinês,Chineză,Китайский,Chino,Kineski,Kichina,Kinesiska,จีน,Çince,Trung quốc
Coptic,cop,,科普特语,Koptiese,قبطي,Copte,Koptisch,Κοπτική,Kopti,Copte,Coptach,कॉप्टिक,Koptski,Kopt,Koptik,Copto,コプト語,콥트,Koptisch,Koptisk,Koptyjski,Copta,Coptă,Коптский,Copto,Koptik,Coptic,Koptiska,คอปติก,Kıpti,Coptic
Crimean Tatar,crh,,克里米亚鞑靼语,Krim-Tataars,تتار القرم,Tàtar de Crimea,Krimtatarisch,Κριμαϊκή Ταταρική γλώσσα,Krimintataari,Tatar de Crimée,Tatar na Crimé,क्रीमियन तातार,Krimski Tatarski,Krími tatár,Tatar Krimea,Tataro di Crimea,クリミア・タタール語,크림 타타르어,Krimtataars,Krimtatar,Krymskotatarski,Tártaro da Crimeia,Limba tătară crimeeană,Крымскотатарский,Tártaro de Crimea,Krimski Tatar,Tatar ya Crimea,Krimtatariska,ภาษาตาตาร์ไครเมีย,Kırım Tatarcası,Tiếng Tatar Crimea
Croatian,hrv,hr,克罗地亚语,Kroatiese,الكرواتية,Croat,Kroatisch,Κροατικά,Kroaatti,Croate,Cróitis,क्रोएशियाई,Hrvatski,Horvát,Kroasia,Croato,クロアチア語,크로아티아어,Kroatisch,Kroatisk,Chorwacki,Croata,Croată,Хорватский,Croata,Hrvatski,Kikroashia,Kroatiska,โครเอเชีย,Hırvatça,Tiếng Cro-xi-an
Czech,ces,cs,捷克语,Tsjeggië,التشيكية,Txec,Tschechisch,Τσεχικά,Tšekki,Tchèque,Seicis,चेक,Češki,Cseh,Ceko,Ceco,チェコ語,체코어,Tsjechisch,Tsjekkisk,Czeski,Tcheco,Cehă,Чешский,Checo,Češki,Kicheki,Tjeckiska,เชก,Çekçe,Séc
Danish,dan,da,丹麦语,Deens,الدانماركية,Danès,Dänisch,Δανικά,Tanska,Danois,Danmhairgis,डैनिश,Danski,Dán,Denmark,Danese,デンマーク語,덴마크어,Deens,Dansk,Duński,Dinamarquês,Daneză,Датский,Danés,Danski,Kidanishi,Danska,เดนมาร์ก,Danca,Tiếng Đan-mạch
Dari,prs,,达里语,Dari,الضاري,Dari,Dari,Νταρί,Dari,Dari,DariName,दारी,Dari,Dari,Dari,Dari,ダリー語,다리어,Dari,Dari,Dari,Dari,Anonim,Дари,Dari,Dari,Dari,Dari,ดารี,Dari dili,Dari
Dutch,nld,nl,荷兰语,Hollands,الهولندية,Holandès,Holländisch,Ολλανδικά,Hollanti,Néerlandais,Ísiltíris,डच,Nizozemski,Holland,Belanda,Olandese,オランダ語,네덜란드어,Nederlands,Nederlandsk,Holenderski,Holandês,Olandeză,Нидерландский,Holandés,Holandski,Kiholanzi,Nederländska,ดัทช์,Hollanda dili,Tiếng Hà-Lan
Dzongkha,dzo,dz,宗喀语,Dzongkha,دزونغخا,Dzongkha,Dzongkha,Τζόνγκα,Dzongkha,Dzongkha,DzongkhaName,ज़ोंगखा,Dzongkha,Dzongkha,Dzongkha,Dzongkha,ゾンカ語,종카(Dzongkha),Dzongkha,Dzongkha,Dzongkha,Dzongkha,Dzongkha,Дзонгкха,Dzongkha,Dzongkha,Dzongkha,Dzongkha Dzongkha,ซองคา,Dzongkha Belediyesi,Dzongkha
Egyptian Arabic,arz,,埃及阿拉伯语,Egiptiese Arabies,عربي مصري,Àrab egipci,Ägyptisch-Arabisch,Αιγυπτιακά Αραβικά,Egyptin arabia,Arabe égyptien,Araibis Éigipteach,मिस्री अरबी,Egipatski arapski,Egyiptomi arab,Arab Mesir,Arabo egiziano,アラビア語エジプト方言,이집트 아랍어,Egyptisch Arabisch,Egyptisk arabisk,egipski arabski,Árabe egípcio,Arabă egipteană,"Египетский, арабский",Árabe egipcio,egipatski arapski,Kiarabu cha Misri,Egyptiska Arabiska,ภาษาอาหรับอียิปต์,Mısır Arapçası,Tiếng Ả Rập Ai Cập
English,eng,en,英语,Engels,الإنكليزية,Anglès,Englisch,Αγγλικά,Englanti,Anglais,Béarla,अंग्रेज़ी,Engleski,Angol,Inggris,Inglese,英語,영어,Engels,Engelsk,Angielski,Inglês,Engleză,Английский,Inglés,Engleski,Kiingereza,Engelska,อังกฤษ,İngilizce,Tiếng Anh
Esperanto,epo,eo,世界语,Esperanto,إسبرانتو,Esperanto,Esperanto,Εσπεράντο,Esperanto,Espéranto,EsperantoName,एस्पेरान्तो,Esperanto,Eszperantó,Bahasa esperanto,Esperanto,エスペラント,에스페란토,Esperanto,Esperanto,Esperanto,Esperanto,Esperanto,Эсперанто,Esperanto,Esperanto,Kiesperanto,Esperanto,ภาษาเอสเปรันโต,Esperanto,Tiếng etperantô
Estonian,est,et,爱沙尼亚语,Estoniaanse,الإستونية,Estonià,Estnisch,Εσθονικά,Viro,Estonien,Eastóinis,एस्टोनियाई,Estonski,Észt,Estonia,Estone,エストニア語,에스토니아어,Estisch,Estisk,Estoński,Estoniano,Estonă,Эстонский,Estonio,Estonski,Kiestonia,Estniska,เอสโทเนีย,Estonca,Estonia
Faroese,fao,fo,法罗语,Faroërese,الفياروسية,Feroès,Färöisch,Νησιών Φερόε,Fääri,Féringien,Faróis,फ़ेरोसे,Farski,Feröer-szigeteki,Faroese,Faeroese,フェロー語,페로어,Faeröers,Færøysk,Farerski,Faroês,Feroeză,Фарерский,Feroés,Farski,Kifaroese,Färöiska,แฟโร,Faroe dili,Tiếng Faroe
Finnish,fin,fi,芬兰语,Finse,الفنلندية,Finlandès,Finnisch,Φινλανδικά,Suomi,Finnois,Fionlainnis,फ़िनिश,Finski,Finn,Finlandia,Finlandese,フィンランド語,핀란드어,Fins,Finsk,Fiński,Finlandês,Finlandeză,Финский,Finlandés,Finski,Kifinishi,Finska,ฟินแลนด์,Fince,Tiếng Phần-lan
French,fra,fr,法语,Franse,الفرنسية,Francès,Französisch,Γαλλικά,Ranska,Français,Fraincis,फ़्रेंच,Francuski,Francia,Prancis,Francese,フランス語,프랑스어,Frans,Fransk,Francuski,Francês,Franceză,Французский,Francés,Francuski,Kifaransa,Franska,ฝรั่งเศส,Fransızca,Pháp
French Sign Language,fsl,,法国手语,Franse Gebaretaal,لغة الإشارة الفرنسية,Llengua de signes francesa,Französische Gebärdensprache,Γαλλική Νοηματική Γλώσσα,Ranskalainen viittomakieli,Langue des signes française,Teanga Chomharthaíochta na Fraince,फ्रेंच सांकेतिक भाषा,Francuski znakovni jezik,Francia jelnyelv,Bahasa Isyarat Perancis,Lingua dei segni francese,フランス手話(French Sign Language),프랑스 수화,Franse Gebarentaal,Fransk tegnspråk,Francuski język migowy,Língua Gestual Francesa,Limbajul semnelor francez,Французский язык жестов,Lengua de Signos Francesa,Francuski jezik znakova,Lugha ya Ishara ya Kifaransa,Franskt teckenspråk,ภาษามือฝรั่งเศส,Fransız İşaret Dili,Ngôn ngữ ký hiệu Pháp
Friulian,fur,,弗留利语,Fries,فريوليان,Friülès,Friaulisch,Φριουλιανός,Friuli,Frioulan,Freaslainnis,फ्र्यूलियन,Friulijski,Friuli,Bahasa Friulia,Friulano,フリウリ語,프리울리안,Friulisch,Friulisk,Friulian,Friulano,Friuliană,Фриульский,Friulano,Friulijski,Friulian,Friuliska,ฟรีอูเลียน,Friulian Dili,Tiếng Friulia
Fula,ful,ff,富拉语,Fula-taal,لغة الفولا,Llengua peul,Fula-Sprache,Γλώσσα Φούλα,Fulan kieli,Langue peule,Teanga Fula,फूला भाषा,Fula jezik,Fula nyelv,Bahasa Fula,Lingua Fula,フラ語,Fula 언어,De taal van Fula,Fula språk,Język Fula,Língua fula,Limba Fula,Язык фула,Lengua fula,Fula jezik,Lugha ya Fula,Fula språk,ภาษา Fula,Fula dili,Ngôn ngữ Fula
Galician,glg,gl,加利西亚语,Galicies,الغاليشية,Gallec,Galizisch,Γαλικικά,Galego,Galicien,Gailísis,गैलिशियन,Galicijski,Galíciai,Galician,Galiziano,ガリシア語,갈리시아어,Galicisch,Galisisk,Galicyjski,Galego,Galiciană,Галисийский,Gallego,Galicijski,Kigalishia,Galiciska,กาลิเชีย,Galiçya lehçesi,Galician
Gan,gan,,赣语,Gan,قان,Gan,Gan,Γκαν,Gan,Gan,Gan,जीएएन,Gan,Gan,Gan,Gan,ガン,간,Gan,Gan,Gan,Gan,Gan,Гань,Gan,Gan,Gan,Gan,กาน,Gan Belediyesi,Gan
Georgian,kat,ka,格鲁吉亚语,Georgiaanse,الجورجية,Georgià,Georgisch,Γεωργιανά,Georgia,Géorgien,Seoirsis,जॉर्जियन,Gruzijski,Grúz,Georgian,Georgiano,グルジア語,그루지야어,Georgisch,Georgisk,Gruziński,Georgiano,Gruzină,Грузинский,Georgiano,Gruzijski,Kijojia,Georgiska,จอร์เจีย,Gürcüce,Georgian
